Timestamp,Lo primero: donde cursas la MAYORIA de tus clases?,¿En que horario cursas esa mayoría?,¿Qué medio de transporte  usás para llegar a la sede la mayoría de las veces?,Caminando...,En bici...,En moto...,En bondi...,¿Qué líneas tomás?,En tren...,¿Que líneas de tren tomás?,En auto...,"En remis, Uber, etc...",En combi...,¿Qué otro medio de transporte  usás para llegar a las sedes?,Caminando...,En bici...,En moto...,En bondi...,¿Qué líneas tomás?,En tren...,¿Que líneas de tren tomás?,En auto...,"En remis, Uber, etc...",En combi...,"Para finalizar, moverte hacia/desde la Universidad, te hizo considerar alguna de las siguientes opciones?"
26/05/2026 14:20:18,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal",203,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,"... me lleva mucho presupuesto, ... tuve experiencias de episodios de violencia/acoso hacia mi persona",,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 15:23:40,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal",,,,,,,Voy en tren,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 10:34:56,Sede Pellegrini,Turno Mañana,Voy moto,,,... el tránsito por zonas es peligroso  (riesgo de accidentes),,,,,,,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... no me reconocen el boleto universitario municipal",276,,,,,,"Necesito salir antes de casa, No voy a poder seguir cursando"
26/05/2026 19:21:27,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal",276 (siendo el unico que me alcanza a pilar) y 501 ,,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 09:40:09,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal, ... no respetan horarios",276,,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,... me lleva mucho presupuesto,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 10:26:41,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal, ... no respetan paradas/recorridos",511- 501/503,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,"... la zona donde transito es peligrosa (robos, etc), ... me lleva mucho presupuesto",,"Tengo que mudarme más cerca de las sedes, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 12:20:09,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal, ... no respetan paradas/recorridos",2 líneas para llegar. 510 cartel 5 y 501-520 para llegar al Pellegrini. ,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 10:42:20,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... la zona donde transito es peligrosa (robos, etc), ... no respetan horarios, ... no respetan paradas/recorridos",276,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa"
26/05/2026 10:46:57,Sede Pellegrini,Turno Noche,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto",,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto",,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 10:47:12,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,... me lleva mucho presupuesto,"Puedo tomar 291,176,203 hasta la terminal y de la terminal tomó el 501 con el pase de la uni",,,,,,Voy en colectivo,,,,... me lleva mucho presupuesto,"Puedo viajar en el 291,176,203 hasta la terminal y de la terminal tomo el 501 con el pase de la uni",,,,,,Necesito salir antes de casa
